"","Observed","Chao1","se.chao1","Shannon","Simpson"
"BAQ2420.1.1",26,26,0,2.91058675309462,0.931145063457469
"BAQ2420.1.2",31,31,0,3.13845548116999,0.945610887379971
"BAQ2420.1.3",35,35,0,3.14869414480171,0.935210607077655
"BAQ2420.2",38,38,0,3.47765642304827,0.965114261578093
"BAQ2420.3",38,38,0,3.45154968682718,0.964265801064138
"BAQ2462.1",35,35,0,3.18144131227327,0.940108392613479
"BAQ2462.2",23,23,0,2.73450968092028,0.916061742288881
"BAQ2462.3",33,33,0,3.1192199993213,0.939628366139355
"BAQ2687.1",31,31,0,3.17643747593785,0.949749533180121
"BAQ2687.2",27,27,0,2.97291008541232,0.936715028187146
"BAQ2687.3",39,39,0,3.3718447737433,0.955456220143969
"BAQ2838.1",23,23,0,2.86950138835562,0.930753238445546
"BAQ2838.2",19,19,0,2.62424599733738,0.911824190488105
"BAQ2838.3",16,16,0,2.4847429607106,0.887948428576314
"BAQ3473.1",45,45,0,3.29257929144463,0.93548329657337
"BAQ3473.2",33,33,0,3.27863355192386,0.955000005174435
"BAQ3473.3",58,58,0,3.71283753112893,0.965359002770083
"BAQ4166.1.1",31,31,0,3.17265439029394,0.950083618447447
"BAQ4166.1.2",45,45,0,3.47238175003911,0.960847667601598
"BAQ4166.1.3",39,39,0,3.37850676958894,0.958362745626851
"BAQ4166.2",44,44,0,3.54162997104243,0.965116777498862
"BAQ4166.3",47,47,0,3.61057385920691,0.96629279811098
"BAQ4697.1",33,33,0,3.0096629894058,0.928127137442513
"BAQ4697.2",35,35,0,3.01383932599291,0.923519253380364
"BAQ4697.3",42,42,0,3.23754484075273,0.938763868343195
"YUN1005.1.1",30,30,0,2.59563876556764,0.87030490092739
"YUN1005.3",20,20,0,2.42101281642805,0.867175747746154
"YUN1242.1",20,20,0,2.37911835875006,0.86012957563978
"YUN1242.3",26,26,0,2.55646267827627,0.879566414176102
"YUN1609.1",18,18,0,1.81715968545349,0.678755345985499
"YUN2029.2",37,37,0,2.94797483604386,0.921643008531682
"YUN3153.2",25,25,0,2.86936965950362,0.92949999195823
"YUN3153.3",24,24,0,2.74369942226746,0.910306467056571
"YUN3259.1.1",3,3,0,0.856277995671578,0.522959183673469
"YUN3259.1.2",27,27,0,2.9235595905644,0.927570013684839
"YUN3259.1.3",17,17,0,2.46719134190921,0.893563934582689
"YUN3259.2",41,41,0,3.45765729581301,0.961316418329225
"YUN3259.3",33,33,0,3.12815753969598,0.934857629284689
"YUN3346.1",32,32,0,2.90007122335549,0.904294444444444
"YUN3346.2",7,7,0,1.72710672538553,0.778029274181379
"YUN3346.3",30,30,0,2.88520535174149,0.906154666666667
"YUN3428.1",34,34,0,3.12572881722448,0.942106759963384
"YUN3428.2",60,60,0,3.69262780649427,0.967488636227151
"YUN3428.3",41,41,0,3.42803619590401,0.95686936407411
"YUN3533.1.1",31,31,0,2.62817773295047,0.834536478970206
"YUN3533.1.2",36,36,0,3.22276346694877,0.947547258979206
"YUN3533.1.3",37,37,0,3.25802033476764,0.945150419753086
"YUN3533.2",40,40,0,2.31310213257286,0.732926072820084
"YUN3533.3",49,49,0,3.52828392909554,0.96022147210746
"YUN3856.1.1",29,29,0,2.94101345663072,0.915856168343161
"YUN3856.1.2",46,46,0,3.02651233914126,0.884780175447111
"YUN3856.1.3",47,47,0,3.59121594646153,0.964747042439417
"YUN3856.2",52,52,0,3.70851286337681,0.969710916851976
"YUN3856.3",61,61,0,3.90765074504225,0.975830854515955
